Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Crown,No,Sunday,Convenient,Less than 1 hour,More than 6 times,No,9,0,1,9,4,Way too cold,Strongly disagree,6,8,Yes,Yes,2,6,5,2,No,Yes,Samuel Li,Samuel.Li@msn.com
Century City,Yes,Tuesday,Indifferent,Less than 1 hour,Once,No,2,1,1,0,3,Just right,Neither agree nor disagree,10,5,Yes,No,NA,NA,NA,1,Yes,Yes,Layla Baker,Layla.Baker@bigpond.com
Rivoli,Yes,Friday,Convenient,Less than 1 hour,More than 6 times,Yes,0,6,4,10,10,Way too hot,Neither agree nor disagree,6,7,Yes,Yes,10,3,3,9,No,No,NA,NA
Warnambool,Yes,Monday,Indifferent,Less than 30 minutes,Once,NA,6,10,9,1,3,Way too hot,Strongly disagree,7,9,No,Yes,8,10,10,5,No,Yes,Mackenzie Ross,Mackenzie.Ross@mailinator.com
Eastlands,No,Thursday,Indifferent,Less than 30 minutes,4-6 times,NA,9,1,8,3,5,A little cool,Disagree,0,1,No,No,NA,NA,NA,8,Yes,Yes,James Price,James.Price@bigpond.net.au
Sorrento,No,Saturday,Very Convenient,Less than 1 hour,2-3 times,NA,3,1,2,0,9,Way too hot,Neither agree nor disagree,6,6,No,No,NA,NA,NA,3,No,Yes,Chloe Watson,Chloe.Watson@live.com.au
Crown,No,Friday,Indifferent,Less than 30 minutes,More than 6 times,Yes,7,5,3,8,6,Way too cold,Agree,10,1,Yes,No,NA,NA,NA,6,Yes,Yes,Maidson Clark,Maidson.Clark@mailinator.com
Sorrento,Yes,Sunday,Very Inconvenient,Less than 30 minutes,Once,NA,6,3,8,7,3,A little cool,Neither agree nor disagree,6,2,No,No,NA,NA,NA,9,Yes,No,NA,NA
Crown,Yes,Friday,Very Inconvenient,More than 1 hour,More than 6 times,Yes,4,1,5,3,8,Just right,Strongly disagree,7,5,No,Yes,8,7,9,7,No,No,NA,NA
Rosebud,Yes,Thursday,Very Inconvenient,More than 1 hour,More than 6 times,NA,10,4,3,5,2,A little warm,Strongly agree,4,9,Yes,Yes,9,4,3,2,Yes,No,NA,NA
